*  通用时（计算时刻）
*  GPS周，周内秒（计算时刻）
卫星号 POS_X(km) POS_Y(km) POS_Z(km) VEL_X(m/s) VEL_Y(m/s) VEL_Z(m/s) CLK(us) CLK_VEL(us/sec)
注意：卫星号前“B”表示广播星历；卫星位置、钟差等均未经任何改正

BG12 -13320.339758  -6729.251348  21723.025609  1004.322 -2630.178  -183.602     -126.096063     -0.000008
BG15 -19141.492139  -6940.166217 -17621.538410  1957.639  -927.615 -1769.156     -106.595712      0.000007
BG18 -15927.937568   3788.560480 -20940.672227 -1729.463 -2012.214   941.988      295.845120     -0.000006
BG21  21255.356612  16242.634573   3216.411672    80.496   385.661 -3100.916      150.955656      0.000006
BG22  12500.111264  12733.731172  19903.550110  -577.104  2428.254 -1180.672     -465.219178      0.000011
BG23 -15519.197630  13863.241232 -16476.354855   370.336 -2065.036 -2097.169       33.174907     -0.000005
BG24 -21918.102872 -14083.547650   5907.789938  -360.903  -761.135 -2970.679      266.822199      0.000006
BG25 -16228.606023   5749.812008  19882.067233   605.296 -2523.912  1234.774      240.329455      0.000003
BG26  -4142.799382  25913.153151  -2938.135735  -447.578   270.995  3117.677      155.175919      0.000002
BG29 -26359.252296   2979.079499   1854.371567   203.619  -242.360  3207.315     -440.370241     -0.000005
BG31    325.343300  19294.291347  17929.052970 -1695.801 -1592.407  1780.229     -150.066924     -0.000005
BG32 -14121.072359  15377.329931  16427.563740 -2060.506   300.032 -2084.477      -21.803086     -0.000005
BC04 -39671.089808  14335.992901   -549.173920    -0.863     3.316    12.336      158.074321      0.000081
BC06  -8896.042758  23414.932630  33889.200033 -1275.905   -28.794  -323.846      485.314419      0.000055
BC07 -16264.085378  38118.578837  -8119.102176   775.409   821.963  2296.734      239.720651     -0.000044
BC09   -159.142154  24942.804292  34337.817261 -1199.178  -384.209   253.195     -265.611718     -0.000030
BC13   4942.434231  37642.418266 -17906.119822   803.275 -1179.569 -2257.559      474.630776      0.000011
BC14 -21504.136528  11553.914042 -13552.896425   904.728 -1260.324 -2502.885      536.539252     -0.000017
BC16 -14156.232854  21617.708973  33403.813288 -1291.614   166.560  -669.095     -723.101066      0.000015
BC24 -18061.941876  -8282.260554  19599.648873  -703.389 -2130.019 -1544.857     -961.630122      0.000005
BC25 -11245.759325  13537.486130  21646.539886  -966.849 -2280.811   926.032     -824.971645      0.000005
BC32   8340.774569  14377.540341  22421.698310 -1621.692  1980.931  -666.904     -962.220400      0.000003
BC33 -19755.817459  19067.739184  -5020.436379   272.180  -516.262 -3032.909     -973.125102      0.000006
BC39 -19344.665242  20564.733880  31257.021117 -1226.690   473.181 -1077.874       34.026257     -0.000000
BC41  -8281.655322  23698.209461  12219.445655  -952.063  1018.274 -2629.657     -916.354262      0.000001
BC59 -32288.736712  27096.865958    633.105809    -2.046    -0.086   -10.875        0.744170     -0.000000
BC60   7275.207012  41497.331443  -1661.158484    -2.468     1.033    -4.253       -0.301974     -0.000000

*  2021 11 14  7 54 59.99999106
*  2184  28500.00000000
BG03  13929.466670   5679.140704  21790.515327  -694.882  2700.147  -248.523      -13.160017     -0.000010
BG05  -7476.813425 -19742.707689 -16188.710257   612.536 -1947.692  2128.849      -61.013071     -0.000001
BG10 -11633.680520  21984.122296  -8764.521391    27.363 -1165.495 -2946.918     -245.779057     -0.000011
BG12 -12748.079190  -8311.366258  21527.953712   902.110 -2639.459  -466.168     -126.099405     -0.000008
BG15 -17941.286189  -7529.520495 -18617.017693  2039.628 -1037.189 -1547.084     -106.594006      0.000007
BG18 -16970.830151   2617.089765 -20296.265463 -1743.430 -1890.607  1204.646      295.841641     -0.000005
BG21  21254.675467  16429.009499   1346.328404   -85.149   237.550 -3128.896      150.956338      0.000005
BG22  12182.284765  14168.024108  19121.326525  -482.967  2349.133 -1425.091     -465.213721      0.000011
BG23 -15308.152803  12576.113263 -17669.873158   330.493 -2222.736 -1878.699       33.172246     -0.000005
BG24 -22091.594173 -14492.118043   4105.410093  -214.936  -602.336 -3033.462      266.824587      0.000006
BG25 -15884.513250   4204.481084  20543.615034   539.630 -2623.663   968.967      240.333002      0.000003
BG26  -4393.689109  26010.639913  -1058.512553  -391.486    52.946  3143.664      155.178170      0.000002
BG29 -26168.669035   2817.944528   3769.238769   430.567  -297.810  3171.512     -440.373379     -0.000005
BG31   -734.202181  18328.318844  18925.489278 -1834.730 -1623.802  1539.125     -150.068083     -0.000005
BG32 -15307.539911  15565.674628  15115.610806 -1892.085   324.960 -2285.954      -21.805951     -0.000005
BC04 -39671.571076  14338.020885   -541.250104    -0.764     3.454    14.073      158.123031      0.000081
BC06  -9661.350357  23431.126304  33662.465604 -1273.492    82.691  -431.820      485.347500      0.000055
BC07 -15777.937127  38590.961159  -6733.765524   844.060   751.642  2320.321      239.694196     -0.000044
BC09   -887.803995  24744.502018  34457.456773 -1228.130  -276.420   145.528     -265.630293     -0.000030
BC10  -9386.384440  39000.054188 -13472.092972   679.046   930.151  2154.023       12.229168      0.000003
BC13   5392.758747  36914.019081 -19242.848557   696.823 -1246.848 -2197.483      474.638092      0.000011
BC14 -20945.992578  10747.088727 -15008.320020   952.577 -1428.737 -2345.856      536.529087     -0.000017
BC16 -14925.904586  21751.515970  32970.664321 -1272.315   279.131  -774.514     -723.092168      0.000015
BC24 -18496.116027  -9521.062125  18609.108754  -741.359 -1997.145 -1755.122     -961.627388      0.000005
BC25 -11859.030273  12164.653519  22130.061045 -1076.752 -2291.890   684.822     -824.968329      0.000005
BC32   7401.192474  15573.101324  21948.049600 -1508.732  2001.058  -911.057     -962.218562      0.000003
BC33 -19561.450267  18705.513073  -6821.620943   372.891  -692.151 -2967.737     -973.121591      0.000006
BC39 -20067.268938  20880.414424  30580.493869 -1180.451   578.355 -1176.859       34.026343     -0.000000
BC41  -8807.283405  24276.919081  10603.112369  -800.955   907.781 -2755.165     -916.353565      0.000001
BC59 -32289.942440  27096.845501    625.979213    -1.998     0.045   -12.885        0.744049     -0.000000
BC60   7273.754881  41498.010503  -1662.115368    -2.369     1.230     1.050       -0.301973     -0.000000

*  2021 11 14  8  4 59.99999553
*  2184  29100.00000000
BG03  13543.327544   7298.501834  21557.451089  -591.701  2693.614  -527.828      -13.166191     -0.000010
BG10 -11615.396935  21219.789027 -10496.091123    30.411 -1381.081 -2821.213     -245.783784     -0.000011
BG12 -12238.855968  -9891.664224  21164.411641   794.659 -2624.058  -744.797     -126.102748     -0.000008
BG21  21150.511546  16530.241890   -533.667277  -264.117   102.164 -3133.898      150.957020      0.000005
BG22  11919.531219  15548.467315  18195.597920  -393.925  2248.910 -1658.729     -465.208555      0.000011
BG23 -15125.620701  11199.363636 -18727.934758   275.587 -2363.415 -1645.938       33.169586     -0.000005
BG24 -22173.236613 -14808.450685   2272.216201   -55.030  -454.023 -3073.349      266.826974      0.000006
